DATOS TÉCNICOS Y TRAZABILIDAD							
Esta pestaña conserva el texto original, la descripción olfativa, la ruta de imagen y la fuente de verificación.							
							
Código	Nombre original exacto	Descripción olfativa	Ruta de imagen	Fuente	Orden original	Control de duplicado	Estado de ficha
AP-0981	FIRST INSTINT BLUE HOMBRE 100ML EDT ABERCROMBIE & FITCH	Salida: manzana, bergamota y cardamomo. Corazón: lavanda, rosemary y pimienta. Fondo: haba tonka, sándalo y ámbar.	img/perfumes/first_instint_blue_hombre_100ml_edt_abercrombie_and_fitch_e7c6e6b7d2.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/first-instinct-blue-50034.html	1008	Único	Ficha verificada
AP-0980	FIRST INSTINT TOGETHER HOMBRE 100ML EDT ABERCROMBIE & FITCH	Salida: manzana verde, pineapple leaf, toronja (pomelo) y cardamomo. Corazón: lavanda y flor de azahar del naranjo. Fondo: almizcle, sándalo y cedro.	img/perfumes/first_instint_together_hombre_100ml_edt_abercrombie_and_fitch_bae94a7761.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/first-instinct-together-eau-de-toilette-for-him-59431.html	1007	Único	Ficha verificada
AP-0946	ADIDAS BEST OF THE BEST HOMBRE 100ML EDT ADIDAS	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/adidas_best_of_the_best_hombre_100ml_edt_adidas_3c1d36a3b2.webp		973	Único	Pendiente
AP-0948	ADIDAS BEST OF THE BEST HOMBRE 100ML EDP ADIDAS	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/adidas_best_of_the_best_hombre_100ml_edp_adidas_54a8c55b9a.webp		975	Único	Pendiente
AP-0947	ADIDAS CHAMPIONS HOMBRE 100ML EDT ADIDAS	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/adidas_champions_hombre_100ml_edt_adidas_c2487de1fe.webp		974	Único	Pendiente
AP-0950	ADIDAS DYNAMIC PULSE HOMBRE 100ML EDT ADIDAS	Perfil dominado por acordes woody, green, aromatic, citrus; la ficha consultada no separa salida, corazón y fondo.	img/perfumes/adidas_dynamic_pulse_hombre_100ml_edt_adidas_5367475694.webp	https://www.fragrantica.com/perfume/Adidas/Adidas-Dynamic-Pulse-21829.html	977	Único	Ficha verificada
AP-1568	ADIDAS FIZZY ENERGY DE ADIDAS MUJER 50ML EDT ADIDAS	Salida: piña, toronja (pomelo) y red apple. Corazón: papaya, camelia y jazmín. Fondo: almizcle y woodsy notes.	img/perfumes/adidas_fizzy_energy_de_adidas_mujer_50ml_edt_adidas_839707109a.webp	https://www.fragrantica.com/perfume/adidas/fizzy-energy-14515.html	1598	Único	Ficha verificada
AP-1571	ADIDAS FLORAL DREAM DE ADIDAS MUJER 50ML EDT ADIDAS	Salida: bergamota. Corazón: lily y rosa. Fondo: vanille y haba tonka.	img/perfumes/adidas_floral_dream_de_adidas_mujer_50ml_edt_adidas_b91201ef36.webp	https://www.fragrantica.com/perfume/adidas/adidas-floral-dream-7213.html	1601	Único	Ficha verificada
AP-1573	ADIDAS FRUITY RHYTHM DE ADIDAS MUJER 50ML EDT ADIDAS	Salida: raspberry y grosella negra. Corazón: cyclamen y fresia. Fondo: almizcle.	img/perfumes/adidas_fruity_rhythm_de_adidas_mujer_50ml_edt_adidas_d25468e3be.webp	https://www.fragrantica.com/perfume/adidas/fruity-rhythm-2852.html	1603	Único	Ficha verificada
AP-0945	ADIDAS GET READY HOMBRE 100ML EDT ADIDAS	Salida: sea notes, piña y mandarina. Corazón: exotic fruits, lavanda y clary sage. Fondo: cedro, pachulí y sándalo.	img/perfumes/adidas_get_ready_hombre_100ml_edt_adidas_3aa6059543.webp	https://www.fragrantica.com/perfume/adidas/adidas-get-ready-for-him-23743.html	972	Único	Ficha verificada
AP-1570	ADIDAS HAPPY GAME DE ADIDAS MUJER 50ML EDT ADIDAS	Salida: clementine y cranberry. Corazón: floral notes, jazmín y fresia. Fondo: woodsy notes y ámbar.	img/perfumes/adidas_happy_game_de_adidas_mujer_50ml_edt_adidas_18fbbabf23.webp	https://www.fragrantica.com/perfume/adidas/happy-game-11033.html	1600	Único	Ficha verificada
AP-0949	ADIDAS ICE DIVE HOMBRE 100ML EDT ADIDAS	Salida: menta, toronja (pomelo), lavanda y bergamota. Corazón: geranio, sándalo y pachulí. Fondo: pimienta, ámbar gris, almizcle y haba tonka.	img/perfumes/adidas_ice_dive_hombre_100ml_edt_adidas_3745201bcc.webp	https://www.fragrantica.com/perfume/adidas/adidas-ice-dive-7211.html	976	Único	Ficha verificada
AP-1569	ADIDAS NATURAL VITALITY DE ADIDAS MUJER 50ML EDT ADIDAS	Salida: red apple, litchi, tomato y naranja. Corazón: flor de loto, watermelon y osmanthus. Fondo: almizcle y sándalo.	img/perfumes/adidas_natural_vitality_de_adidas_mujer_50ml_edt_adidas_1c21da8a82.webp	https://www.fragrantica.com/perfume/adidas/natural-vitality-4495.html	1599	Único	Ficha verificada
AP-0951	ADIDAS PURE GAME HOMBRE 100ML EDT ADIDAS	Salida: toronja (pomelo), mandarina, basil y pimienta. Corazón: cypress, madera de gaiac y lavanda. Fondo: haba tonka, sándalo, pachulí y incense.	img/perfumes/adidas_pure_game_hombre_100ml_edt_adidas_437aa5eaaf.webp	https://www.fragrantica.com/perfume/adidas/pure-game-11527.html	978	Único	Ficha verificada
AP-1572	ADIDAS PURE LIGHTNESS DE ADIDAS MUJER 50ML EDT ADIDAS	Salida: melón y red apple. Corazón: lirio de los valles (muguete), magnolia, violeta y jazmín. Fondo: almizcle.	img/perfumes/adidas_pure_lightness_de_adidas_mujer_50ml_edt_adidas_5ad037f9a6.webp	https://www.fragrantica.com/perfume/adidas/pure-lightness-2855.html	1602	Único	Ficha verificada
AP-0952	ADIDAS VICTORY LEAGUE HOMBRE 100ML EDT ADIDAS	Perfil dominado por acordes vanilla, cinnamon, sweet, warm spicy; la ficha consultada no separa salida, corazón y fondo.	img/perfumes/adidas_victory_league_hombre_100ml_edt_adidas_df513b7b73.webp	https://www.fragrantica.com/perfume/Adidas/Adidas-Victory-League-3163.html	979	Único	Ficha verificada
AP-0544	9 AM MUJER 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_am_mujer_100ml_edp_afnan_b09e363a91.webp		560	Único	Pendiente
AP-0546	9 AM DIVE UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_am_dive_unisex_100ml_edp_afnan_5a3dba5370.webp		562	Único	Pendiente
AP-0547	9 AM DORADO MUJER 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_am_dorado_mujer_100ml_edp_afnan_df9ab4d459.webp		563	Único	Pendiente
AP-0543	9 PM HOMBRE 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_hombre_100ml_edp_afnan_d65d24efe1.webp		559	Único	Pendiente
AP-0545	9 PM MUJER 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_mujer_100ml_edp_afnan_f7b935ed99.webp		561	Único	Pendiente
AP-0541	9 PM ELIXIR UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_elixir_unisex_100ml_edp_afnan_4f5b65a1c7.webp		557	Único	Pendiente
AP-0540	9 PM NIGHT OUT EXTRAIT HOMBRE 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_night_out_extrait_hombre_100ml_edp_afnan_f7f2fb5b6b.webp		556	Único	Pendiente
AP-0542	9 PM REBEL HOMBRE 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_rebel_hombre_100ml_edp_afnan_cc0cab0aa5.webp		558	Único	Pendiente
AP-0527	AFNAN LYNKED FOREVER MUJER 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_lynked_forever_mujer_100ml_edp_afnan_c5105ec982.webp		543	Único	Pendiente
AP-0526	AFNAN LYNKED FREEDOM HOMBRE 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_lynked_freedom_hombre_100ml_edp_afnan_5c37ed00b8.webp		542	Único	Pendiente
AP-0532	AFNAN RARE REEF UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_rare_reef_unisex_100ml_edp_afnan_6ab88ece20.webp		548	Único	Pendiente
AP-0534	AFNAN TRIBUTE UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_tribute_unisex_100ml_edp_afnan_022165a285.webp		550	Único	Pendiente
AP-0535	AFNAN TURATHI HOMBRES HOMBRE 90ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_turathi_hombres_hombre_90ml_edp_afnan_af7acad729.webp		551	Único	Pendiente
AP-0536	AFNAN TURATHI MORADO MUJER 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_turathi_morado_mujer_100ml_edp_afnan_c76f37b899.webp		552	Único	Pendiente
AP-0537	AFNAN TURATHI ROJO MUJER 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_turathi_rojo_mujer_100ml_edp_afnan_8bf16da4b9.webp		553	Único	Pendiente
AP-0539	AFNAN VIOLET BOUQUET MUJER 100ML EDP AFNAN	Salida: sweet notes, azafrán, woodsy notes y cítricos. Corazón: ámbar, naranja, lemon zest y herbal notes. Fondo: ámbar gris, spices, woodsy notes y musgo de roble.	img/perfumes/afnan_violet_bouquet_mujer_100ml_edp_afnan_848bae3c0b.webp	https://www.fragrantica.com/perfume/afnan/violet-bouquet-70461.html	555	Único	Ficha verificada
AP-0530	CHERRY BOUQUET MUJER 100ML EDP AFNAN	Salida: black cherry, sour cherry, cherry liqueur y almond. Corazón: raspberry, ciruela, damask rose y jasmine sambac. Fondo: clavos de olor, pachulí, vainilla y vetiver.	img/perfumes/cherry_bouquet_mujer_100ml_edp_afnan_cae6c98d3a.webp	https://www.fragrantica.com/perfume/afnan/cherry-bouquet-92435.html	546	Único	Ficha verificada
AP-2529	ESTUCHE AFNAN 9PM HOMBRE 3PZS 100ML EDP + GEL DE BAÑO + DESODORANTE	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_afnan_9pm_hombre_3pzs_100ml_edp_gel_de_bano_desodorante_900412062c.webp		2581	Único	No aplica
AP-2532	ESTUCHE AFNAN SOUVENIR DESERT ROSE UNISEX 3PZS	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_afnan_souvenir_desert_rose_unisex_3pzs_bf6fa557f1.webp		2584	Único	No aplica
AP-2530	ESTUCHE AFNAN SUPREMACY MUJER 3PZS 100ML EDP + GEL DE BAÑO + CREMA	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_afnan_supremacy_mujer_3pzs_100ml_edp_gel_de_bano_crema_f2f12a5a15.webp		2582	Único	No aplica
AP-2531	ESTUCHE AFNAN TURATHI AZUL UNISEX 3PZS 100ML EDP + GEL DE BAÑO + AFTER SHAVE	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_afnan_turathi_azul_unisex_3pzs_100ml_edp_gel_de_bano_after_shave_8669b31eb2.webp		2583	Único	No aplica
AP-0538	RARE CARBON UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/rare_carbon_unisex_100ml_edp_afnan_0c1cdcad12.webp		554	Único	Pendiente
AP-0531	RARE TIFFANY MUJER 100ML EDP AFNAN	Salida: ylang-ylang, jazmín y rosa. Corazón: almizcle, sándalo y vainilla. Fondo: jengibre, pimienta rosa y caramelo.	img/perfumes/rare_tiffany_mujer_100ml_edp_afnan_f51450865f.webp	https://www.fragrantica.com/perfume/afnan/rare-tiffany-70698.html	547	Único	Ficha verificada
AP-0528	SOUVENIR BLOOMING BLISS MUJER 100ML EDP AFNAN	Salida: vainilla. Corazón: coco, caramelo y palo santo. Fondo: sándalo y white musk.	img/perfumes/souvenir_blooming_bliss_mujer_100ml_edp_afnan_1a282b5e38.webp	https://www.fragrantica.com/perfume/Afnan/Souvenir-Blooming-Bliss-94921.html	544	Único	Ficha verificada
AP-0529	SOUVENIR DESERT ROSE MUJER 100ML EDP AFNAN	Salida: fruity notes y almizcle. Corazón: tropical fruits y powdery notes. Fondo: cítricos, ámbar y sándalo.	img/perfumes/souvenir_desert_rose_mujer_100ml_edp_afnan_064e784edc.webp	https://www.fragrantica.com/perfume/afnan/souvenir-desert-rose-71180.html	545	Único	Ficha verificada
AP-0550	SUPREMACY MUJER 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_mujer_100ml_edp_afnan_efc8a73eb4.webp		566	Único	Pendiente
AP-0554	SUPREMACY HOMBRE 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_hombre_100ml_edp_afnan_65aa9b9cb4.webp		570	Único	Pendiente
AP-0549	SUPREMACY COLLECTOR EDITION HOMBRE 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_collector_edition_hombre_100ml_edp_afnan_879f273438.webp		565	Único	Pendiente
AP-0553	SUPREMACY GOLD UNISEX 100ML EDP AFNAN	Salida: nuez moscada, violeta, peach blossom y cumin. Corazón: iris y pachulí. Fondo: ámbar, vainilla, agarwood (oud) y benjuí.	img/perfumes/supremacy_gold_unisex_100ml_edp_afnan_472b9c304c.webp	https://www.fragrantica.com/perfume/afnan/supremacy-gold-27351.html	569	Único	Ficha verificada
AP-0555	SUPREMACY IN HEAVEN HOMBRE 100ML EDP AFNAN	Salida: bergamota y mandarina. Corazón: té verde y grosella negra. Fondo: almizcle, sándalo y woodsy notes.	img/perfumes/supremacy_in_heaven_hombre_100ml_edp_afnan_6462abedf6.webp	https://www.fragrantica.com/perfume/afnan/supremacy-in-heaven-70703.html	571	Único	Ficha verificada
AP-0548	SUPREMACY IN OUD UNISEX 100ML EDP AFNAN	Salida: azafrán, nuez moscada y lavanda. Corazón: agarwood (oud) y sweet notes. Fondo: pachulí y almizcle.	img/perfumes/supremacy_in_oud_unisex_100ml_edp_afnan_7369776ebe.webp	https://www.fragrantica.com/perfume/afnan/supremacy-in-oud-68283.html	564	Único	Ficha verificada
AP-0552	SUPREMACY IN OUD EXTRAIT UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_in_oud_extrait_unisex_100ml_edp_afnan_e3656c56df.webp		568	Único	Pendiente
AP-0556	SUPREMACY INCENSE UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_incense_unisex_100ml_edp_afnan_b2a47b4a58.webp		572	Único	Pendiente
AP-0557	SUPREMACY NOIR UNISEX 100ML EDP AFNAN	Salida: spruce, bergamota y violeta. Corazón: pine tree, cuero y lavanda. Fondo: pachulí y labdanum.	img/perfumes/supremacy_noir_unisex_100ml_edp_afnan_73f36ddeaa.webp	https://www.fragrantica.com/perfume/afnan/supremacy-noir-40683.html	573	Único	Ficha verificada
AP-0558	SUPREMACY NOT ONLY INTENSE HOMBRE 100ML EDP AFNAN	Salida: grosella negra, bergamota y manzana. Corazón: musgo de roble, pachulí y lavanda. Fondo: ámbar gris, almizcle y azafrán.	img/perfumes/supremacy_not_only_intense_hombre_100ml_edp_afnan_41ba453544.webp	https://www.fragrantica.com/perfume/afnan/supremacy-not-only-intense-68271.html	574	Único	Ficha verificada
AP-0551	SUPREMACY PINK MUJER 100ML EDP AFNAN	Salida: pimienta rosa y violeta. Corazón: rosa, peony y lirio de los valles (muguete). Fondo: almizcle y ámbar.	img/perfumes/supremacy_pink_mujer_100ml_edp_afnan_80afe14b59.webp	https://www.fragrantica.com/perfume/afnan/supremacy-pink-70705.html	567	Único	Ficha verificada
AP-0559	SUPREMACY SILVER UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_silver_unisex_100ml_edp_afnan_177b37e04a.webp		575	Único	Pendiente
AP-0533	TURATHI ELECTRIC UNISEX 100ML EDP AFNAN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/turathi_electric_unisex_100ml_edp_afnan_ebbe130f7e.webp		549	Único	Pendiente
AP-1576	PRADA LOVE LOVE MUJER 100ML EDT AGATHA RUIZ DE LA PRADA	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/prada_love_love_mujer_100ml_edt_agatha_ruiz_de_la_prada_622ac5ab03.webp		1606	Único	Pendiente
AP-0499	AL HARAMAIN BELLE MUJER 75ML EDP AL HARAMAIN	Salida: black currant blossom, mandarina y toronja (pomelo). Corazón: melón y chabacano. Fondo: sweet notes, almizcle y sándalo.	img/perfumes/al_haramain_belle_mujer_75ml_edp_al_haramain_14cc7f25cf.webp	https://www.fragrantica.com/perfume/al-haramain-perfumes/belle-53246.html	515	Único	Ficha verificada
AP-0498	AL HARAMAIN BELLE ROUGE MUJER  75ML EDP AL HARAMAIN	Salida: naranja, toronja (pomelo), pera y mandarina. Corazón: lavanda, jazmín, rosa y durazno (melocotón). Fondo: vainilla, haba tonka, almizcle y vetiver.	img/perfumes/al_haramain_belle_rouge_mujer_75ml_edp_al_haramain_c0e1f11552.webp	https://www.fragrantica.com/perfume/al-haramain-perfumes/belle-rouge-63932.html	514	Único	Ficha verificada
AP-0507	AL HARAMAIN GOLD EDITION EXTREME UNISEX 100ML EDP AL HARAMAIN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/al_haramain_gold_edition_extreme_unisex_100ml_edp_al_haramain_7bb3ed2a58.webp		523	Único	Pendiente
AP-0502	AL HARAMAIN SIGNATURE BLUE HOMBRE 100ML EDP AL HARAMAIN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/al_haramain_signature_blue_hombre_100ml_edp_al_haramain_9e9e23f69a.webp		518	Único	Pendiente
AP-0503	AMBER OUD UNISEX 120ML EDP AL HARAMAIN	Salida: rosemary, bergamota, cedro y limón (lima ácida). Corazón: spices, cedro y madera de gaiac. Fondo: resins, ámbar y almizcle.	img/perfumes/amber_oud_unisex_120ml_edp_al_haramain_ce07c21358.webp	https://www.fragrantica.com/perfume/al-haramain-perfumes/amber-oud-51817.html	519	Único	Ficha verificada
AP-0504	AMBER OUD UNISEX 200ML EDP AL HARAMAIN	Salida: rosemary, bergamota, cedro y limón (lima ácida). Corazón: spices, cedro y madera de gaiac. Fondo: resins, ámbar y almizcle.	img/perfumes/amber_oud_unisex_200ml_edp_al_haramain_f22ea09390.webp	https://www.fragrantica.com/perfume/al-haramain-perfumes/amber-oud-51817.html	520	Único	Ficha verificada
AP-0515	AMBER OUD AQUA DUBAI UNISEX 100ML EDP AL HARAMAIN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/amber_oud_aqua_dubai_unisex_100ml_edp_al_haramain_f3e481b27d.webp		531	Único	Pendiente
AP-0505	AMBER OUD BLACK UNISEX 100ML EDP AL HARAMAIN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/amber_oud_black_unisex_100ml_edp_al_haramain_b52cce2002.webp		521	Único	Pendiente
AP-0508	AMBER OUD BLEU UNISEX 100ML EDP AL HARAMAIN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/amber_oud_bleu_unisex_100ml_edp_al_haramain_2824444f4c.webp		524	Único	Pendiente
AP-0509	AMBER OUD CARBON UNISEX 100ML EDP AL HARAMAIN	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/amber_oud_carbon_unisex_100ml_edp_al_haramain_f69e091015.webp		525	Único	Pendiente
