ARCHIVUM PARFUMS | CATÁLOGO MAYORISTA												
Inventario organizado para lectura, búsqueda y filtros. Precios expresados en colones costarricenses.												
Consejo: filtrá por marca, público, concentración o estado de ficha desde los encabezados.												
Código	Perfume	Marca	Público	Presentación	Concentración	Notas principales	Precio mayorista	Tipo	Estado de ficha	Descripción	Imagen	Nombre original exacto
AP-1562	First Instinct	Abercrombie & Fitch	Mujer	100 ml	EDP	Cítrico · Floral · Frutal · Oriental · Gourmand	18000	Perfume	Ficha verificada	Salida: passionfruit, magnolia y toronja (pomelo). Corazón: butterfly orchid y flor de azahar del naranjo. Fondo: haba tonka y ámbar.	img/perfumes/first_instinct_mujer_100ml_edp_abercrombie_and_fitch_b257655279.webp	FIRST INSTINCT MUJER 100ML EDP ABERCROMBIE & FITCH
AP-1561	First Instinct Blue	Abercrombie & Fitch	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Frutal	18000	Perfume	Ficha verificada	Salida: ozonic notes, salt, zarzamora (frambuesa negra) y bergamota. Corazón: chabacano, peony y jazmín. Fondo: pachulí, vanila y sándalo.	img/perfumes/first_instinct_blue_mujer_100ml_edp_abercrombie_and_fitch_afb5bbd06d.webp	FIRST INSTINCT BLUE MUJER 100ML EDP ABERCROMBIE & FITCH
AP-0976	First Instinct Extreme	Abercrombie & Fitch	Hombre	100 ml	EDP	Amaderado · Cítrico · Floral · Frutal · Oriental · Especiado · Cuero · Almizclado · Verde	18000	Perfume	Ficha verificada	Salida: carambola (star fruit), pimienta y mandarin leaf. Corazón: violet leaf, sichuan pepper, cardamomo y azafrán. Fondo: almizcle, ámbar, coconut milk y suede.	img/perfumes/first_instinct_extreme_hombre_100ml_edp_abercrombie_and_fitch_399e4b26cd.webp	FIRST INSTINCT EXTREME HOMBRE 100ML EDP ABERCROMBIE & FITCH
AP-1563	First Instinct Sheer	Abercrombie & Fitch	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Oriental · Especiado · Almizclado	18000	Perfume	Ficha verificada	Salida: mountain air, bergamota y pimienta rosa. Corazón: flor de azahar del naranjo, lirio de los valles (muguete) y hibiscus. Fondo: almizcle, ámbar y notas amaderadas.	img/perfumes/first_instinct_sheer_mujer_100ml_edp_abercrombie_and_fitch_0f135142a5.webp	FIRST INSTINCT SHEER MUJER 100ML EDP ABERCROMBIE & FITCH
AP-0981	First Instint Blue	Abercrombie & Fitch	Hombre	100 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Oriental · Gourmand · Especiado · Verde	18000	Perfume	Ficha verificada	Salida: manzana, bergamota y cardamomo. Corazón: lavanda, rosemary y pimienta. Fondo: haba tonka, sándalo y ámbar.	img/perfumes/first_instint_blue_hombre_100ml_edt_abercrombie_and_fitch_e7c6e6b7d2.webp	FIRST INSTINT BLUE HOMBRE 100ML EDT ABERCROMBIE & FITCH
AP-0980	First Instint Together	Abercrombie & Fitch	Hombre	100 ml	EDT	Amaderado · Cítrico · Frutal · Gourmand · Especiado · Almizclado · Verde	18000	Perfume	Ficha verificada	Salida: manzana verde, pineapple leaf, toronja (pomelo) y cardamomo. Corazón: lavanda y flor de azahar del naranjo. Fondo: almizcle, sándalo y cedro.	img/perfumes/first_instint_together_hombre_100ml_edt_abercrombie_and_fitch_bae94a7761.webp	FIRST INSTINT TOGETHER HOMBRE 100ML EDT ABERCROMBIE & FITCH
AP-0946	Adidas Best Of The Best	Adidas	Hombre	100 ml	EDT	Sin clasificar	4500	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/adidas_best_of_the_best_hombre_100ml_edt_adidas_3c1d36a3b2.webp	ADIDAS BEST OF THE BEST HOMBRE 100ML EDT ADIDAS
AP-0948	Adidas Best Of The Best	Adidas	Hombre	100 ml	EDP	Sin clasificar	4500	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/adidas_best_of_the_best_hombre_100ml_edp_adidas_54a8c55b9a.webp	ADIDAS BEST OF THE BEST HOMBRE 100ML EDP ADIDAS
AP-0947	Adidas Champions	Adidas	Hombre	100 ml	EDT	Sin clasificar	4500	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/adidas_champions_hombre_100ml_edt_adidas_c2487de1fe.webp	ADIDAS CHAMPIONS HOMBRE 100ML EDT ADIDAS
AP-0950	Adidas Dynamic Pulse	Adidas	Hombre	100 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Gourmand · Especiado · Verde	4500	Perfume	Ficha verificada	Perfil dominado por acordes woody, green, aromatic, citrus; la ficha consultada no separa salida, corazón y fondo.	img/perfumes/adidas_dynamic_pulse_hombre_100ml_edt_adidas_5367475694.webp	ADIDAS DYNAMIC PULSE HOMBRE 100ML EDT ADIDAS
AP-1568	Adidas Fizzy Energy de Adidas	Adidas	Mujer	50 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Gourmand · Almizclado	5500	Perfume	Ficha verificada	Salida: piña, toronja (pomelo) y red apple. Corazón: papaya, camelia y jazmín. Fondo: almizcle y woodsy notes.	img/perfumes/adidas_fizzy_energy_de_adidas_mujer_50ml_edt_adidas_839707109a.webp	ADIDAS FIZZY ENERGY DE ADIDAS MUJER 50ML EDT ADIDAS
AP-1571	Adidas Floral Dream de Adidas	Adidas	Mujer	50 ml	EDT	Cítrico · Floral · Gourmand	5500	Perfume	Ficha verificada	Salida: bergamota. Corazón: lily y rosa. Fondo: vanille y haba tonka.	img/perfumes/adidas_floral_dream_de_adidas_mujer_50ml_edt_adidas_b91201ef36.webp	ADIDAS FLORAL DREAM DE ADIDAS MUJER 50ML EDT ADIDAS
AP-1573	Adidas Fruity Rhythm de Adidas	Adidas	Mujer	50 ml	EDT	Floral · Frutal · Gourmand · Almizclado	5500	Perfume	Ficha verificada	Salida: raspberry y grosella negra. Corazón: cyclamen y fresia. Fondo: almizcle.	img/perfumes/adidas_fruity_rhythm_de_adidas_mujer_50ml_edt_adidas_d25468e3be.webp	ADIDAS FRUITY RHYTHM DE ADIDAS MUJER 50ML EDT ADIDAS
AP-0945	Adidas Get Ready	Adidas	Hombre	100 ml	EDT	Amaderado · Cítrico · Frutal · Gourmand · Verde	4500	Perfume	Ficha verificada	Salida: sea notes, piña y mandarina. Corazón: exotic fruits, lavanda y clary sage. Fondo: cedro, pachulí y sándalo.	img/perfumes/adidas_get_ready_hombre_100ml_edt_adidas_3aa6059543.webp	ADIDAS GET READY HOMBRE 100ML EDT ADIDAS
AP-1570	Adidas Happy Game de Adidas	Adidas	Mujer	50 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Oriental · Gourmand	5500	Perfume	Ficha verificada	Salida: clementine y cranberry. Corazón: floral notes, jazmín y fresia. Fondo: woodsy notes y ámbar.	img/perfumes/adidas_happy_game_de_adidas_mujer_50ml_edt_adidas_18fbbabf23.webp	ADIDAS HAPPY GAME DE ADIDAS MUJER 50ML EDT ADIDAS
AP-0949	Adidas Ice Dive	Adidas	Hombre	100 ml	EDT	Amaderado · Cítrico · Frutal · Oriental · Gourmand · Especiado · Almizclado · Verde	4500	Perfume	Ficha verificada	Salida: menta, toronja (pomelo), lavanda y bergamota. Corazón: geranio, sándalo y pachulí. Fondo: pimienta, ámbar gris, almizcle y haba tonka.	img/perfumes/adidas_ice_dive_hombre_100ml_edt_adidas_3745201bcc.webp	ADIDAS ICE DIVE HOMBRE 100ML EDT ADIDAS
AP-1569	Adidas Natural Vitality de Adidas	Adidas	Mujer	50 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Almizclado · Verde	5500	Perfume	Ficha verificada	Salida: red apple, litchi, tomato y naranja. Corazón: flor de loto, watermelon y osmanthus. Fondo: almizcle y sándalo.	img/perfumes/adidas_natural_vitality_de_adidas_mujer_50ml_edt_adidas_1c21da8a82.webp	ADIDAS NATURAL VITALITY DE ADIDAS MUJER 50ML EDT ADIDAS
AP-0951	Adidas Pure Game	Adidas	Hombre	100 ml	EDT	Amaderado · Cítrico · Frutal · Oriental · Gourmand · Especiado · Verde	4500	Perfume	Ficha verificada	Salida: toronja (pomelo), mandarina, basil y pimienta. Corazón: cypress, madera de gaiac y lavanda. Fondo: haba tonka, sándalo, pachulí y incense.	img/perfumes/adidas_pure_game_hombre_100ml_edt_adidas_437aa5eaaf.webp	ADIDAS PURE GAME HOMBRE 100ML EDT ADIDAS
AP-1572	Adidas Pure Lightness de Adidas	Adidas	Mujer	50 ml	EDT	Floral · Frutal · Almizclado	5500	Perfume	Ficha verificada	Salida: melón y red apple. Corazón: lirio de los valles (muguete), magnolia, violeta y jazmín. Fondo: almizcle.	img/perfumes/adidas_pure_lightness_de_adidas_mujer_50ml_edt_adidas_5ad037f9a6.webp	ADIDAS PURE LIGHTNESS DE ADIDAS MUJER 50ML EDT ADIDAS
AP-0952	Adidas Victory League	Adidas	Hombre	100 ml	EDT	Cítrico · Frutal · Gourmand · Especiado · Verde	4500	Perfume	Ficha verificada	Perfil dominado por acordes vanilla, cinnamon, sweet, warm spicy; la ficha consultada no separa salida, corazón y fondo.	img/perfumes/adidas_victory_league_hombre_100ml_edt_adidas_df513b7b73.webp	ADIDAS VICTORY LEAGUE HOMBRE 100ML EDT ADIDAS
AP-0544	9 Am	Afnan	Mujer	100 ml	EDP	Sin clasificar	14000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_am_mujer_100ml_edp_afnan_b09e363a91.webp	9 AM MUJER 100ML EDP AFNAN
AP-0546	9 Am Dive	Afnan	Unisex	100 ml	EDP	Sin clasificar	15000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_am_dive_unisex_100ml_edp_afnan_5a3dba5370.webp	9 AM DIVE UNISEX 100ML EDP AFNAN
AP-0547	9 Am Dorado	Afnan	Mujer	100 ml	EDP	Sin clasificar	14000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_am_dorado_mujer_100ml_edp_afnan_df9ab4d459.webp	9 AM DORADO MUJER 100ML EDP AFNAN
AP-0543	9 Pm	Afnan	Hombre	100 ml	EDP	Sin clasificar	13000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_hombre_100ml_edp_afnan_d65d24efe1.webp	9 PM HOMBRE 100ML EDP AFNAN
AP-0545	9 Pm	Afnan	Mujer	100 ml	EDP	Sin clasificar	17000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_mujer_100ml_edp_afnan_f7b935ed99.webp	9 PM MUJER 100ML EDP AFNAN
AP-0541	9 Pm Elixir	Afnan	Unisex	100 ml	EDP	Sin clasificar	20000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_elixir_unisex_100ml_edp_afnan_4f5b65a1c7.webp	9 PM ELIXIR UNISEX 100ML EDP AFNAN
AP-0540	9 Pm Night Out Extrait	Afnan	Hombre	100 ml	Parfum	Sin clasificar	23000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_night_out_extrait_hombre_100ml_edp_afnan_f7f2fb5b6b.webp	9 PM NIGHT OUT EXTRAIT HOMBRE 100ML EDP AFNAN
AP-0542	9 Pm Rebel	Afnan	Hombre	100 ml	EDP	Sin clasificar	18000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/9_pm_rebel_hombre_100ml_edp_afnan_cc0cab0aa5.webp	9 PM REBEL HOMBRE 100ML EDP AFNAN
AP-0527	Afnan Lynked Forever	Afnan	Mujer	100 ml	EDP	Sin clasificar	19000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_lynked_forever_mujer_100ml_edp_afnan_c5105ec982.webp	AFNAN LYNKED FOREVER MUJER 100ML EDP AFNAN
AP-0526	Afnan Lynked Freedom	Afnan	Hombre	100 ml	EDP	Sin clasificar	19000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_lynked_freedom_hombre_100ml_edp_afnan_5c37ed00b8.webp	AFNAN LYNKED FREEDOM HOMBRE 100ML EDP AFNAN
AP-0532	Afnan Rare Reef	Afnan	Unisex	100 ml	EDP	Sin clasificar	19000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_rare_reef_unisex_100ml_edp_afnan_6ab88ece20.webp	AFNAN RARE REEF UNISEX 100ML EDP AFNAN
AP-0534	Afnan Tribute	Afnan	Unisex	100 ml	EDP	Sin clasificar	180200	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_tribute_unisex_100ml_edp_afnan_022165a285.webp	AFNAN TRIBUTE UNISEX 100ML EDP AFNAN
AP-0535	Afnan Turathi	Afnan	Unisex	90 ml	EDP	Sin clasificar	19000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_turathi_hombres_hombre_90ml_edp_afnan_af7acad729.webp	AFNAN TURATHI HOMBRES HOMBRE 90ML EDP AFNAN
AP-0536	Afnan Turathi Morado	Afnan	Mujer	100 ml	EDP	Sin clasificar	19000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_turathi_morado_mujer_100ml_edp_afnan_c76f37b899.webp	AFNAN TURATHI MORADO MUJER 100ML EDP AFNAN
AP-0537	Afnan Turathi Rojo	Afnan	Mujer	100 ml	EDP	Sin clasificar	19000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/afnan_turathi_rojo_mujer_100ml_edp_afnan_8bf16da4b9.webp	AFNAN TURATHI ROJO MUJER 100ML EDP AFNAN
AP-0539	Afnan Violet Bouquet	Afnan	Mujer	100 ml	EDP	Amaderado · Cítrico · Oriental · Gourmand · Especiado · Verde	23000	Perfume	Ficha verificada	Salida: sweet notes, azafrán, woodsy notes y cítricos. Corazón: ámbar, naranja, lemon zest y herbal notes. Fondo: ámbar gris, spices, woodsy notes y musgo de roble.	img/perfumes/afnan_violet_bouquet_mujer_100ml_edp_afnan_848bae3c0b.webp	AFNAN VIOLET BOUQUET MUJER 100ML EDP AFNAN
AP-0530	Cherry Bouquet	Afnan	Mujer	100 ml	EDP	Amaderado · Floral · Frutal · Gourmand · Especiado	21000	Perfume	Ficha verificada	Salida: black cherry, sour cherry, cherry liqueur y almond. Corazón: raspberry, ciruela, damask rose y jasmine sambac. Fondo: clavos de olor, pachulí, vainilla y vetiver.	img/perfumes/cherry_bouquet_mujer_100ml_edp_afnan_cae6c98d3a.webp	CHERRY BOUQUET MUJER 100ML EDP AFNAN
AP-2529	Estuche Afnan 9pm	Afnan	Hombre	3 pzs. + 100 ml	EDP	Sin clasificar	20000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_afnan_9pm_hombre_3pzs_100ml_edp_gel_de_bano_desodorante_900412062c.webp	ESTUCHE AFNAN 9PM HOMBRE 3PZS 100ML EDP + GEL DE BAÑO + DESODORANTE
AP-2532	Estuche Afnan Souvenir Desert Rose	Afnan	Unisex	3 pzs.	No indicada	Sin clasificar	20000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_afnan_souvenir_desert_rose_unisex_3pzs_bf6fa557f1.webp	ESTUCHE AFNAN SOUVENIR DESERT ROSE UNISEX 3PZS
AP-2530	Estuche Afnan Supremacy	Afnan	Mujer	3 pzs. + 100 ml	EDP	Sin clasificar	19000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_afnan_supremacy_mujer_3pzs_100ml_edp_gel_de_bano_crema_f2f12a5a15.webp	ESTUCHE AFNAN SUPREMACY MUJER 3PZS 100ML EDP + GEL DE BAÑO + CREMA
AP-2531	Estuche Afnan Turathi Azul	Afnan	Unisex	3 pzs. + 100 ml	EDP	Sin clasificar	22000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_afnan_turathi_azul_unisex_3pzs_100ml_edp_gel_de_bano_after_shave_8669b31eb2.webp	ESTUCHE AFNAN TURATHI AZUL UNISEX 3PZS 100ML EDP + GEL DE BAÑO + AFTER SHAVE
AP-0538	Rare Carbon	Afnan	Unisex	100 ml	EDP	Sin clasificar	14000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/rare_carbon_unisex_100ml_edp_afnan_0c1cdcad12.webp	RARE CARBON UNISEX 100ML EDP AFNAN
AP-0531	Rare Tiffany	Afnan	Mujer	100 ml	EDP	Amaderado · Floral · Gourmand · Especiado · Almizclado	19000	Perfume	Ficha verificada	Salida: ylang-ylang, jazmín y rosa. Corazón: almizcle, sándalo y vainilla. Fondo: jengibre, pimienta rosa y caramelo.	img/perfumes/rare_tiffany_mujer_100ml_edp_afnan_f51450865f.webp	RARE TIFFANY MUJER 100ML EDP AFNAN
AP-0528	Souvenir Blooming Bliss	Afnan	Mujer	100 ml	EDP	Amaderado · Frutal · Oriental · Gourmand · Almizclado	18000	Perfume	Ficha verificada	Salida: vainilla. Corazón: coco, caramelo y palo santo. Fondo: sándalo y white musk.	img/perfumes/souvenir_blooming_bliss_mujer_100ml_edp_afnan_1a282b5e38.webp	SOUVENIR BLOOMING BLISS MUJER 100ML EDP AFNAN
AP-0529	Souvenir Desert Rose	Afnan	Mujer	100 ml	EDP	Amaderado · Cítrico · Frutal · Oriental · Gourmand · Almizclado	18000	Perfume	Ficha verificada	Salida: fruity notes y almizcle. Corazón: tropical fruits y powdery notes. Fondo: cítricos, ámbar y sándalo.	img/perfumes/souvenir_desert_rose_mujer_100ml_edp_afnan_064e784edc.webp	SOUVENIR DESERT ROSE MUJER 100ML EDP AFNAN
AP-0550	Supremacy	Afnan	Mujer	100 ml	EDP	Sin clasificar	17000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_mujer_100ml_edp_afnan_efc8a73eb4.webp	SUPREMACY MUJER 100ML EDP AFNAN
AP-0554	Supremacy	Afnan	Hombre	100 ml	EDP	Sin clasificar	16000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_hombre_100ml_edp_afnan_65aa9b9cb4.webp	SUPREMACY HOMBRE 100ML EDP AFNAN
AP-0549	Supremacy Collector Edition	Afnan	Hombre	100 ml	EDP	Sin clasificar	20000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_collector_edition_hombre_100ml_edp_afnan_879f273438.webp	SUPREMACY COLLECTOR EDITION HOMBRE 100ML EDP AFNAN
AP-0553	Supremacy Gold	Afnan	Unisex	100 ml	EDP	Amaderado · Floral · Frutal · Oriental · Gourmand · Especiado	16000	Perfume	Ficha verificada	Salida: nuez moscada, violeta, peach blossom y cumin. Corazón: iris y pachulí. Fondo: ámbar, vainilla, agarwood (oud) y benjuí.	img/perfumes/supremacy_gold_unisex_100ml_edp_afnan_472b9c304c.webp	SUPREMACY GOLD UNISEX 100ML EDP AFNAN
AP-0555	Supremacy In Heaven	Afnan	Hombre	100 ml	EDP	Amaderado · Cítrico · Frutal · Almizclado · Verde	17000	Perfume	Ficha verificada	Salida: bergamota y mandarina. Corazón: té verde y grosella negra. Fondo: almizcle, sándalo y woodsy notes.	img/perfumes/supremacy_in_heaven_hombre_100ml_edp_afnan_6462abedf6.webp	SUPREMACY IN HEAVEN HOMBRE 100ML EDP AFNAN
AP-0548	Supremacy In OUD	Afnan	Unisex	100 ml	EDP	Amaderado · Oriental · Gourmand · Especiado · Almizclado · Verde	24000	Perfume	Ficha verificada	Salida: azafrán, nuez moscada y lavanda. Corazón: agarwood (oud) y sweet notes. Fondo: pachulí y almizcle.	img/perfumes/supremacy_in_oud_unisex_100ml_edp_afnan_7369776ebe.webp	SUPREMACY IN OUD UNISEX 100ML EDP AFNAN
AP-0552	Supremacy In OUD Extrait	Afnan	Unisex	100 ml	Parfum	Sin clasificar	24000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_in_oud_extrait_unisex_100ml_edp_afnan_e3656c56df.webp	SUPREMACY IN OUD EXTRAIT UNISEX 100ML EDP AFNAN
AP-0556	Supremacy Incense	Afnan	Unisex	100 ml	EDP	Sin clasificar	17000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/supremacy_incense_unisex_100ml_edp_afnan_b2a47b4a58.webp	SUPREMACY INCENSE UNISEX 100ML EDP AFNAN
AP-0557	Supremacy Noir	Afnan	Unisex	100 ml	EDP	Amaderado · Cítrico · Floral · Oriental · Cuero · Verde	17000	Perfume	Ficha verificada	Salida: spruce, bergamota y violeta. Corazón: pine tree, cuero y lavanda. Fondo: pachulí y labdanum.	img/perfumes/supremacy_noir_unisex_100ml_edp_afnan_73f36ddeaa.webp	SUPREMACY NOIR UNISEX 100ML EDP AFNAN
AP-0558	Supremacy Not Only Intense	Afnan	Hombre	100 ml	EDP	Amaderado · Cítrico · Frutal · Oriental · Especiado · Almizclado · Verde	20000	Perfume	Ficha verificada	Salida: grosella negra, bergamota y manzana. Corazón: musgo de roble, pachulí y lavanda. Fondo: ámbar gris, almizcle y azafrán.	img/perfumes/supremacy_not_only_intense_hombre_100ml_edp_afnan_41ba453544.webp	SUPREMACY NOT ONLY INTENSE HOMBRE 100ML EDP AFNAN
